date,user_ip,trial_id,block_id,n_trials,n_block,block_size,target_shape,target_id,target_freq,target_n,timeLearning,setting_used,n_locks,lock_duration,unlock_action,lock_state,occurrence,time,time_selected,time_next,slider_display_span,n_opened_locker,first_unlock_occurrence,first_unlock_trial,nb_total_click,time_tuto,exp_total_time,mode_used,reload














Tue Aug 30 2022 10:01:24 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,0,0,2,0,35,Circle,1,9,5,22000,2*11s,2,11,0,0,1,8646,7819,827,-1,0,-1,-1,6,336709,524385,novice,7



































Tue Aug 30 2022 15:37:23 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,0,0,6,0,35,Hexagon,7,,5,22000,8*2.75s,8,2.75,1,1,NaN,16017,,16017,13035,1,,,3,2372061,255099,learning,3
Tue Aug 30 2022 15:37:23 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,1,1,6,0,35,Hexagon,7,,5,22000,8*2.75s,8,2.75,1,2,NaN,7300,,7300,5028,2,,,3,2372061,255099,learning,3
Tue Aug 30 2022 15:37:23 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,2,1,6,0,35,Circle,1,6,5,22000,8*2.75s,8,2.75,1,1,1,5712,,5712,4107,3,1,2,3,2372061,255099,learning,3
Tue Aug 30 2022 15:37:23 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,3,1,6,0,35,X,5,9,5,22000,8*2.75s,8,2.75,1,1,1,6560,,6560,4781,4,1,3,3,2372061,255099,learning,3
Tue Aug 30 2022 15:37:23 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,4,1,6,0,35,Square,2,5,5,22000,8*2.75s,8,2.75,1,1,1,7873,,7873,6291,5,1,4,3,2372061,255099,learning,3

































Tue Aug 30 2022 17:35:57 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,0,0,2,0,35,Diamond,4,9,5,22000,2*11s,2,11,1,1,1,15325,,15325,12360,1,1,0,3,2798202,40565,learning,1

Tue Aug 30 2022 17:36:38 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,0,0,3,0,35,X,5,9,5,22000,8*2.75s,8,2.75,1,1,1,8792,,8792,5405,1,1,0,3,2798202,30288,learning,2
Tue Aug 30 2022 17:36:38 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,1,1,3,0,35,Square,2,5,5,22000,8*2.75s,8,2.75,1,1,1,6055,,6055,4190,2,1,1,3,2798202,30288,learning,2







Wed Aug 31 2022 13:06:23 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,0,0,2,0,35,Hexagon,7,9,5,22000,8*2.75s,8,2.75,0,0,1,4776,3976,800,-1,0,-1,-1,8,2916161,6333,novice,1































Wed Aug 31 2022 14:02:33 GMT+0200 (heure d’été d’Europe centrale),78.197.241.68,0,0,2,0,35,Hexagon,7,6,5,22000,2*11s,2,11,1,1,1,17802,,17802,11151,1,1,0,3,0,38513,learning,16



















